"RelativePath","Size","AssociatedInf"
"drivers/gw1-w149/display-intel-uhd-graphics/UniversalAdapter64.dll","338008","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/vp9e_32.vp","73056","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/vp9e_64.vp","14120","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/vulkan-1-32.dll","956424","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/vulkan-1-64.dll","1102344","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/vulkaninfo-32.exe","1440328","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/vulkaninfo-64.exe","1859680","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/VulkanRT-EULA.txt","4008","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/ze_intel_gpu64.dll","4260192","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/ze_loader.dll","429912","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/ze_tracing_layer.dll","614232","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/display-intel-uhd-graphics/ze_validation_layer.dll","145776","drivers/gw1-w149/display-intel-uhd-graphics/oem19.inf"
"drivers/gw1-w149/hid-class-event-filter/HidEventFilter.cat","10106","drivers/gw1-w149/hid-class-event-filter/oem10.inf"
"drivers/gw1-w149/hid-class-event-filter/HidEventFilter.sys","85448","drivers/gw1-w149/hid-class-event-filter/oem10.inf"
"drivers/gw1-w149/hid-class-event-filter/oem10.inf","12816","drivers/gw1-w149/hid-class-event-filter/oem10.inf"
"drivers/gw1-w149/hid-class-event-filter/restore.ini","263","drivers/gw1-w149/hid-class-event-filter/oem10.inf"
"drivers/gw1-w149/media/audio-intel-screens/IntcDAud.cat","36371","drivers/gw1-w149/media/audio-intel-screens/oem24.inf"
"drivers/gw1-w149/media/audio-intel-screens/IntcDAud.sys","350000","drivers/gw1-w149/media/audio-intel-screens/oem24.inf"
"drivers/gw1-w149/media/audio-intel-screens/oem24.inf","5306178","drivers/gw1-w149/media/audio-intel-screens/oem24.inf"
"drivers/gw1-w149/media/audio-intel-screens/restore.ini","290","drivers/gw1-w149/media/audio-intel-screens/oem24.inf"
"drivers/gw1-w149/media/esaudriver-device/ESAuDriver.cat","12255","drivers/gw1-w149/media/esaudriver-device/oem1.inf"
"drivers/gw1-w149/media/esaudriver-device/ESAuDriver.sys","179152","drivers/gw1-w149/media/esaudriver-device/oem1.inf"
"drivers/gw1-w149/media/esaudriver-device/oem1.inf","29147","drivers/gw1-w149/media/esaudriver-device/oem1.inf"
"drivers/gw1-w149/media/esaudriver-device/restore.ini","294","drivers/gw1-w149/media/esaudriver-device/oem1.inf"
"drivers/gw1-w149/media/intel-smart-sound-technology/IntcSST.cat","20833","drivers/gw1-w149/media/intel-smart-sound-technology/oem34.inf"
"drivers/gw1-w149/media/intel-smart-sound-technology/IntcSST.sys","697712","drivers/gw1-w149/media/intel-smart-sound-technology/oem34.inf"
"drivers/gw1-w149/media/intel-smart-sound-technology/oem34.inf","303460","drivers/gw1-w149/media/intel-smart-sound-technology/oem34.inf"
"drivers/gw1-w149/media/intel-smart-sound-technology/restore.ini","310","drivers/gw1-w149/media/intel-smart-sound-technology/oem34.inf"
"drivers/gw1-w149/net-intel-wireless/IntelIHVRouter08.dll","1423184","drivers/gw1-w149/net-intel-wireless/oem21.inf"
"drivers/gw1-w149/net-intel-wireless/Netwfw08.dat","2677944","drivers/gw1-w149/net-intel-wireless/oem21.inf"
"drivers/gw1-w149/net-intel-wireless/Netwfw10.dat","10719568","drivers/gw1-w149/net-intel-wireless/oem21.inf"
"drivers/gw1-w149/net-intel-wireless/Netwtw08.cat","59040","drivers/gw1-w149/net-intel-wireless/oem21.inf"
"drivers/gw1-w149/net-intel-wireless/Netwtw08.sys","8827216","drivers/gw1-w149/net-intel-wireless/oem21.inf"
"drivers/gw1-w149/net-intel-wireless/Netwtw10.sys","5311328","drivers/gw1-w149/net-intel-wireless/oem21.inf"
"drivers/gw1-w149/net-intel-wireless/oem21.inf","632734","drivers/gw1-w149/net-intel-wireless/oem21.inf"
"drivers/gw1-w149/net-intel-wireless/restore.ini","283","drivers/gw1-w149/net-intel-wireless/oem21.inf"
"drivers/gw1-w149/software-component/intel-graphics-command-center/AGS.dll","52568","drivers/gw1-w149/software-component/intel-graphics-command-center/oem8.inf"
"drivers/gw1-w149/software-component/intel-graphics-command-center/AGSOfflinePackage.zip","624753","drivers/gw1-w149/software-component/intel-graphics-command-center/oem8.inf"
"drivers/gw1-w149/software-component/intel-graphics-command-center/igdlh.cat","7749863","drivers/gw1-w149/software-component/intel-graphics-command-center/oem8.inf"
"drivers/gw1-w149/software-component/intel-graphics-command-center/IntelGraphicsAGS.exe","79432","drivers/gw1-w149/software-component/intel-graphics-command-center/oem8.inf"
"drivers/gw1-w149/software-component/intel-graphics-command-center/LiteDB.dll","372600","drivers/gw1-w149/software-component/intel-graphics-command-center/oem8.inf"
"drivers/gw1-w149/software-component/intel-graphics-command-center/Newtonsoft.Json.dll","717616","drivers/gw1-w149/software-component/intel-graphics-command-center/oem8.inf"
"drivers/gw1-w149/software-component/intel-graphics-command-center/Newtonsoft.Json.Schema.dll","260472","drivers/gw1-w149/software-component/intel-graphics-command-center/oem8.inf"
"drivers/gw1-w149/software-component/intel-graphics-command-center/NLog.config","1953","drivers/gw1-w149/software-component/intel-graphics-command-center/oem8.inf"
"drivers/gw1-w149/software-component/intel-graphics-command-center/NLog.dll","893824","drivers/gw1-w149/software-component/intel-graphics-command-center/oem8.inf"
"drivers/gw1-w149/software-component/intel-graphics-command-center/oem8.inf","7128","drivers/gw1-w149/software-component/intel-graphics-command-center/oem8.inf"
"drivers/gw1-w149/software-component/intel-graphics-command-center/OneApp.IGCC.COMLibrary.dll","24440","drivers/gw1-w149/software-component/intel-graphics-command-center/oem8.inf"
"drivers/gw1-w149/software-component/intel-graphics-command-center/OneApp.IGCC.CommunicationService.dll","33656","drivers/gw1-w149/software-component/intel-graphics-command-center/oem8.inf"
"drivers/gw1-w149/software-component/intel-graphics-command-center/OneApp.IGCC.CoreLibrary.dll","863608","drivers/gw1-w149/software-component/intel-graphics-command-center/oem8.inf"
"drivers/gw1-w149/software-component/intel-graphics-command-center/OneApp.IGCC.SDKCommandLine.exe","34912","drivers/gw1-w149/software-component/intel-graphics-command-center/oem8.inf"
"drivers/gw1-w149/software-component/intel-graphics-command-center/OneApp.IGCC.SDKCommandLine.exe.config","187","drivers/gw1-w149/software-component/intel-graphics-command-center/oem8.inf"
"drivers/gw1-w149/software-component/intel-graphics-command-center/OneApp.IGCC.WinService.exe","87632","drivers/gw1-w149/software-component/intel-graphics-command-center/oem8.inf"
"drivers/gw1-w149/software-component/intel-graphics-command-center/OneApp.IGCC.WinService.exe.config","1673","drivers/gw1-w149/software-component/intel-graphics-command-center/oem8.inf"
"drivers/gw1-w149/software-component/intel-graphics-command-center/restore.ini","293","drivers/gw1-w149/software-component/intel-graphics-command-center/oem8.inf"
"drivers/gw1-w149/software-component/intel-graphics-control-panel/ColorImageEnhancement.wmv","375173","drivers/gw1-w149/software-component/intel-graphics-control-panel/oem9.inf"
"drivers/gw1-w149/software-component/intel-graphics-control-panel/FilmModeDetection.wmv","641530","drivers/gw1-w149/software-component/intel-graphics-control-panel/oem9.inf"
"drivers/gw1-w149/software-component/intel-graphics-control-panel/GfxDownloadWrapper.exe","161336","drivers/gw1-w149/software-component/intel-graphics-control-panel/oem9.inf"
"drivers/gw1-w149/software-component/intel-graphics-control-panel/igdlh.cat","7749863","drivers/gw1-w149/software-component/intel-graphics-control-panel/oem9.inf"
"drivers/gw1-w149/software-component/intel-graphics-control-panel/igfxCUIService.exe","398920","drivers/gw1-w149/software-component/intel-graphics-control-panel/oem9.inf"
"drivers/gw1-w149/software-component/intel-graphics-control-panel/igfxCUIServiceN.exe","397896","drivers/gw1-w149/software-component/intel-graphics-control-panel/oem9.inf"
"drivers/gw1-w149/software-component/intel-graphics-control-panel/igfxCUIServicePS.dll","412032","drivers/gw1-w149/software-component/intel-graphics-control-panel/oem9.inf"
"drivers/gw1-w149/software-component/intel-graphics-control-panel/igfxCUIServicePSN.dll","412024","drivers/gw1-w149/software-component/intel-graphics-control-panel/oem9.inf"
"drivers/gw1-w149/software-component/intel-graphics-control-panel/igfxDH.dll","983944","drivers/gw1-w149/software-component/intel-graphics-control-panel/oem9.inf"
"drivers/gw1-w149/software-component/intel-graphics-control-panel/igfxDHN.dll","976264","drivers/gw1-w149/software-component/intel-graphics-control-panel/oem9.inf"
"drivers/gw1-w149/software-component/intel-graphics-control-panel/igfxDI.dll","425840","drivers/gw1-w149/software-component/intel-graphics-control-panel/oem9.inf"
"drivers/gw1-w149/software-component/intel-graphics-control-panel/igfxDIN.dll","377200","drivers/gw1-w149/software-component/intel-graphics-control-panel/oem9.inf"
"drivers/gw1-w149/software-component/intel-graphics-control-panel/igfxEM.exe","767560","drivers/gw1-w149/software-component/intel-graphics-control-panel/oem9.inf"
"drivers/gw1-w149/software-component/intel-graphics-control-panel/igfxEMN.exe","760904","drivers/gw1-w149/software-component/intel-graphics-control-panel/oem9.inf"
"drivers/gw1-w149/software-component/intel-graphics-control-panel/igfxexps.dll","60344","drivers/gw1-w149/software-component/intel-graphics-control-panel/oem9.inf"
"drivers/gw1-w149/software-component/intel-graphics-control-panel/igfxexps32.dll","52592","drivers/gw1-w149/software-component/intel-graphics-control-panel/oem9.inf"
"drivers/gw1-w149/software-component/intel-graphics-control-panel/igfxext.exe","343128","drivers/gw1-w149/software-component/intel-graphics-control-panel/oem9.inf"
"drivers/gw1-w149/software-component/intel-graphics-control-panel/igfxextN.exe","345688","drivers/gw1-w149/software-component/intel-graphics-control-panel/oem9.inf"
